City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Veraval,IN,77.68,clear sky,20.9,70.3667,
3,Atuona,PF,78.98,light rain,-9.8,-139.0333,
4,Pundaguitan,PH,82.42,overcast clouds,6.3711,126.1689,
5,Rikitea,PF,77.85,light rain,-23.1203,-134.9692,
7,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,
11,Lorengau,PG,85.77,overcast clouds,-2.0226,147.2712,
13,Padang,ID,78.85,broken clouds,-0.9492,100.3543,
15,Puerto Ayora,EC,76.89,overcast clouds,-0.7393,-90.3518,
16,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,
19,Salvador,SV,75.06,broken clouds,13.8333,-88.9167,
20,Butaritari,KI,81.73,light rain,3.0707,172.7902,
21,Lake Charles,US,75.2,mist,30.2131,-93.2044,
22,Dapaong,TG,85.51,broken clouds,10.8639,0.205,
26,Vaini,TO,80.42,clear sky,-21.2,-175.2,
28,Alice Springs,AU,85.55,clear sky,-23.7,133.8833,
34,Isangel,VU,87.91,broken clouds,-19.55,169.2667,
41,Kavaratti,IN,80.58,overcast clouds,10.5669,72.642,
42,Carnarvon,AU,76.03,clear sky,-24.8667,113.6333,
45,Kapaa,US,79.48,broken clouds,22.0752,-159.319,
47,Arraial Do Cabo,BR,76.96,overcast clouds,-22.9661,-42.0278,
50,Merauke,ID,85.96,broken clouds,-8.4667,140.3333,
51,Bembereke,BJ,79.02,scattered clouds,10.2283,2.6634,
52,Buala,SB,85.35,light rain,-8.145,159.5921,
54,Qui Nhon,VN,79.57,overcast clouds,13.7667,109.2333,
58,Quatre Cocos,MU,79.09,light rain,-20.2078,57.7625,
60,Benito Juarez,MX,79.84,overcast clouds,19.385,-99.165,
65,Pangai,TO,81.52,clear sky,-19.8,-174.35,
66,Santa Rosa,PH,87.1,broken clouds,14.3122,121.1114,
68,Doha,QA,84.09,clear sky,25.2867,51.5333,
76,Bhanpuri,IN,85.69,broken clouds,21.1,80.9167,
79,Avarua,CK,84.25,few clouds,-21.2078,-159.775,
81,Nisia Floresta,BR,81.41,light rain,-6.0911,-35.2086,
89,Cabo San Lucas,MX,78.62,scattered clouds,22.8909,-109.9124,
94,Acapulco,MX,80.42,broken clouds,16.8634,-99.8901,
98,Fort Wellington,GY,77.7,few clouds,6.4,-57.6,
99,Soyo,AO,77.83,overcast clouds,-6.1349,12.3689,
103,Wajir,KE,78.76,scattered clouds,1.7471,40.0573,
112,Meulaboh,ID,78.08,overcast clouds,4.1363,96.1285,
113,Gorontalo,ID,83.79,overcast clouds,0.5412,123.0595,
115,Pangkalanbuun,ID,81.07,overcast clouds,-2.6833,111.6167,
119,Mount Isa,AU,89.37,few clouds,-20.7333,139.5,
123,Ciudad Bolivar,VE,86.02,overcast clouds,8.1222,-63.5497,
127,Caravelas,BR,76.12,scattered clouds,-17.7125,-39.2481,
128,Amahai,ID,84.61,broken clouds,-3.3333,128.9167,
129,Maturin,VE,77.41,clear sky,9.75,-63.1767,
132,Puerto Carreno,CO,84.49,broken clouds,6.189,-67.4859,
134,Jaicos,BR,78.6,overcast clouds,-7.3592,-41.1378,
141,Jega,NG,88.32,broken clouds,12.2175,4.3792,
146,Morgan City,US,75.2,overcast clouds,29.6994,-91.2068,
149,Samarai,PG,84.79,few clouds,-10.6167,150.6667,
152,Pouembout,NC,83.19,clear sky,-21.1333,164.9,
157,Taoudenni,ML,80.08,clear sky,22.6783,-3.9836,
158,Isla Mujeres,MX,80.65,overcast clouds,21.2311,-86.731,
160,Georgetown,MY,84.13,few clouds,5.4112,100.3354,
161,Kieta,PG,85.6,light rain,-6.2167,155.6333,
163,Belmonte,BR,78.3,clear sky,-15.8631,-38.8828,
165,Dwarka,IN,78.28,clear sky,22.2394,68.9678,
166,Ratnagiri,IN,81.55,moderate rain,16.9833,73.3,
167,Sri Aman,MY,79.52,scattered clouds,1.2376,111.4621,
173,Tra Vinh,VN,84.74,overcast clouds,9.9347,106.3453,
174,Manaure,CO,79.77,clear sky,11.7751,-72.4445,
175,Danville,US,75.78,scattered clouds,36.586,-79.395,
177,Hervey Bay,AU,75.02,few clouds,-25.2986,152.8535,
180,Mildura,AU,78.08,scattered clouds,-34.2,142.15,
