City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Medicine Hat,CA,2022-04-14 01:00:26,50.0501,-110.6683,22.71,63,100,1.01,overcast clouds
1,Veraval,IN,2022-04-14 01:00:27,20.9,70.3667,77.68,81,0,10.71,clear sky
2,Rumonge,BI,2022-04-14 01:00:28,-3.9736,29.4386,71.1,82,12,5.5,few clouds
3,Atuona,PF,2022-04-14 01:00:28,-9.8,-139.0333,78.98,78,69,18.3,light rain
4,Pundaguitan,PH,2022-04-14 01:00:29,6.3711,126.1689,82.42,70,100,6.26,overcast clouds
5,Rikitea,PF,2022-04-14 01:00:29,-23.1203,-134.9692,77.85,71,12,18.34,light rain
6,Joshimath,IN,2022-04-14 01:00:30,30.5667,79.5667,55.13,56,27,6.38,scattered clouds
7,Alofi,NU,2022-04-14 00:55:39,-19.0595,-169.9187,82.29,83,75,2.3,broken clouds
8,Castro,BR,2022-04-14 01:00:30,-24.7911,-50.0119,61.56,97,11,0.47,few clouds
9,Qaanaaq,GL,2022-04-14 01:00:31,77.484,-69.3632,-2.07,93,100,5.99,overcast clouds
10,Mamlyutka,KZ,2022-04-14 01:00:31,54.9375,68.5394,39.22,66,15,11.21,few clouds
11,Lorengau,PG,2022-04-14 01:00:32,-2.0226,147.2712,85.77,69,99,9.1,overcast clouds
12,San Francisco,US,2022-04-14 00:58:31,37.7749,-122.4194,58.1,67,68,8.99,broken clouds
13,Padang,ID,2022-04-14 01:00:32,-0.9492,100.3543,78.85,76,52,1.68,broken clouds
14,Olafsvik,IS,2022-04-14 00:57:16,64.8945,-23.7142,41.32,84,100,16.93,overcast clouds
15,Puerto Ayora,EC,2022-04-14 01:00:33,-0.7393,-90.3518,76.89,88,99,6.82,overcast clouds
16,Bambous Virieux,MU,2022-04-14 01:00:33,-20.3428,57.7575,79.21,83,69,19.48,light rain
17,Norman Wells,CA,2022-04-14 01:00:34,65.282,-126.8329,23.54,88,100,8.84,overcast clouds
18,Mataura,NZ,2022-04-14 01:00:06,-46.1927,168.8643,60.48,53,21,4.68,few clouds
19,Salvador,SV,2022-04-14 01:00:00,13.8333,-88.9167,75.06,67,78,3.47,broken clouds
20,Butaritari,KI,2022-04-14 01:00:34,3.0707,172.7902,81.73,76,21,16.04,light rain
21,Lake Charles,US,2022-04-14 01:00:35,30.2131,-93.2044,75.2,93,75,18.41,mist
22,Dapaong,TG,2022-04-14 01:00:35,10.8639,0.205,85.51,47,60,13.62,broken clouds
23,Cape Town,ZA,2022-04-14 00:58:12,-33.9258,18.4232,64.11,85,0,18.41,clear sky
24,Hartford,US,2022-04-14 00:55:42,41.7668,-72.7662,64.27,75,99,3.0,overcast clouds
25,Yellowknife,CA,2022-04-14 01:00:36,62.456,-114.3525,15.3,68,57,8.99,broken clouds
