City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Chabahar,IR,2022-04-07 22:41:43,25.2919,60.643,79.0,68,0,11.27,clear sky
1,Marigot,MF,2022-04-07 22:41:44,18.0667,-63.0833,80.38,71,75,12.66,broken clouds
2,Olafsvik,IS,2022-04-07 22:41:44,64.8945,-23.7142,29.14,90,100,3.98,light snow
3,General Teran,MX,2022-04-07 22:41:44,25.2667,-99.6833,80.01,14,5,11.16,clear sky
4,Muros,ES,2022-04-07 22:41:45,42.7762,-9.0603,58.08,83,100,21.77,overcast clouds
5,Acapulco,MX,2022-04-07 22:41:46,16.8634,-99.8901,78.62,73,100,17.27,overcast clouds
6,Pevek,RU,2022-04-07 22:41:46,69.7008,170.3133,-1.03,83,100,8.12,overcast clouds
7,Rikitea,PF,2022-04-07 22:41:46,-23.1203,-134.9692,79.39,73,4,16.28,clear sky
8,East London,ZA,2022-04-07 22:41:47,-33.0153,27.9116,59.61,65,14,13.58,few clouds
9,Ushuaia,AR,2022-04-07 22:40:56,-54.8,-68.3,38.86,70,20,12.66,few clouds
10,Mataura,NZ,2022-04-07 22:41:48,-46.1927,168.8643,52.09,86,97,11.14,overcast clouds
11,Hervey Bay,AU,2022-04-07 22:41:48,-25.2986,152.8535,76.01,90,22,5.01,light rain
12,Hithadhoo,MV,2022-04-07 22:41:49,-0.6,73.0833,82.08,63,34,4.45,scattered clouds
13,Severo-Kurilsk,RU,2022-04-07 22:38:57,50.6789,156.125,32.07,74,100,2.48,overcast clouds
14,Dymer,UA,2022-04-07 22:41:50,50.7865,30.3026,50.95,68,100,13.02,overcast clouds
15,Kapaa,US,2022-04-07 22:41:50,22.0752,-159.319,80.58,72,40,20.71,scattered clouds
16,Saint-Georges,GD,2022-04-07 22:39:19,12.0564,-61.7485,80.28,78,40,11.5,scattered clouds
17,Hermanus,ZA,2022-04-07 22:41:51,-34.4187,19.2345,56.75,79,5,10.98,clear sky
18,New Norfolk,AU,2022-04-07 22:41:51,-42.7826,147.0587,53.92,80,13,1.01,few clouds
19,Longyearbyen,SJ,2022-04-07 22:40:08,78.2186,15.6401,6.64,78,20,17.27,few clouds
20,Hobart,AU,2022-04-07 22:41:52,-42.8794,147.3294,54.27,88,0,9.22,clear sky
21,Merauke,ID,2022-04-07 22:41:52,-8.4667,140.3333,80.69,82,81,9.86,broken clouds
22,Castro,BR,2022-04-07 22:41:53,-24.7911,-50.0119,63.77,92,100,5.46,moderate rain
23,Qaanaaq,GL,2022-04-07 22:41:53,77.484,-69.3632,-5.75,73,9,7.16,clear sky
24,San Luis,AR,2022-04-07 22:41:54,-33.295,-66.3356,72.79,35,15,10.94,few clouds
25,Bluff,NZ,2022-04-07 22:41:54,-46.6,168.3333,56.46,63,81,28.59,broken clouds
26,Jamestown,US,2022-04-07 22:38:31,42.097,-79.2353,43.95,78,100,8.05,light rain
27,Saint-Philippe,RE,2022-04-07 22:41:55,-21.3585,55.7679,72.99,85,56,14.09,light rain
28,Liverpool,GB,2022-04-07 22:39:36,53.4106,-2.9779,43.83,82,40,10.36,scattered clouds
29,Isangel,VU,2022-04-07 22:41:55,-19.55,169.2667,82.98,71,100,12.82,overcast clouds
30,Umm Kaddadah,SD,2022-04-07 22:41:56,13.6017,26.6876,81.05,11,0,10.56,clear sky
31,Coquimbo,CL,2022-04-07 22:38:57,-29.9533,-71.3436,58.73,88,40,11.5,scattered clouds
32,Avarua,CK,2022-04-07 22:40:15,-21.2078,-159.775,86.05,74,20,13.8,few clouds
33,Hay River,CA,2022-04-07 22:39:20,60.8156,-115.7999,49.98,29,75,8.05,broken clouds
34,Pangnirtung,CA,2022-04-07 22:41:57,66.1451,-65.7125,12.2,92,100,2.3,light snow
35,Khatanga,RU,2022-04-07 22:41:57,71.9667,102.5,1.74,93,99,11.54,overcast clouds
36,Carnarvon,AU,2022-04-07 22:41:58,-24.8667,113.6333,77.07,78,100,10.36,overcast clouds
37,Cherskiy,RU,2022-04-07 22:41:58,68.75,161.3,-5.39,94,80,4.18,broken clouds
38,Northam,GB,2022-04-07 22:41:58,51.0333,-4.2167,44.65,83,98,10.27,overcast clouds
39,Dong Xoai,VN,2022-04-07 22:41:59,11.5333,106.9167,69.21,69,100,4.56,overcast clouds
40,Port Alfred,ZA,2022-04-07 22:41:59,-33.5906,26.891,55.18,81,42,4.0,scattered clouds
41,Yulara,AU,2022-04-07 22:42:00,-25.2406,130.9889,58.84,51,0,4.61,clear sky
42,Punta Arenas,CL,2022-04-07 22:39:04,-53.15,-70.9167,42.91,75,0,5.75,clear sky
43,Kavaratti,IN,2022-04-07 22:39:00,10.5669,72.642,83.01,73,54,5.88,broken clouds
44,Nemuro,JP,2022-04-07 22:42:01,43.3236,145.575,32.59,85,96,9.95,overcast clouds
